SMS Translation,SMS Language,Category,Subcategory
SWISSPT Someone you contact have test positive for coronavirus or have show symptom Self-isolation be invite Important instruction http //tinyurl.com Zy8ufsnp,it,Fraud,covid
"Dear ADITYA TIDKE the Incometax Department require you to click http //188.214.30.217/ITRefund to submit a formal request for the payment of your overdue tax refund of 19,700 INR",en,Fraud,tax refund
ssyqx yth app thanks pjmn ¡ n tlh d s2approve on X XX k1 k sk2.un8.co 4fa.ux9.co 8dr.x8i.co 164.cy9.co r9n.do9.co pp3.r8i.co y00.f0.is ztm.cjo.co th5.pjo.co,id,Ads,other
PHONE PACKAGE Super SAVE Activate the TALK MANIA package Talk Quota XX Min price start from Rp XXXX Call XXX or the MyTelkomsel application immediately S amp K,id,Ads,promo
Sabadell Pending charge of 70.79 EUR from Serveis i Mantenimiento in the account XXXXX due to insufficient balance You have until 1:00 p.m. on 05/27 to check-in,es,Fraud,financial
Apple Account temporarily restrict To fully restore your Apple ID service please visit http //apple.com.submit userdata.services to confirm your detail,en,Fraud,account alert
Rabobank Your debit card be outdated and will expire in X day Request the renew debit card for free via http // application rabo -nl.info/Rabobank/inloggen,nl,Fraud,credit/debit card
"-LEAS 1.NG OFFICIAL -PAID LETTER MO.BIL truck Rate 0,8 month Tk.Over OK Dbntu Up to LIQUID PnLiquid fast n easy GERRY XXXXXXXXXXXX bit.ly/2DyzOVU",id,Ads,loan/gamble
kszp bn who give 10.5 million please download the received leaf good http //tagx.pw/1509/4STV66F,id,Fraud,financial
Hi Tarrita -- this be Jade with Mike Bloomberg for President Are you consider vote for Mike in the March X XXXX CA primary election,en,Ads,politics/election
An access to your home banking from a new device have be detect if it be not you follow the restore link http // gruppo-sp.com,it,Fraud,account alert
Dear Customer Your PYTMK CY have be expire today please call customer care no XXXXXXXXXX your PYTM have be block 24hrs THANK YOU PYTM TEAM,en,Ads,account alert
Hello Customer Your PAYTM Account be expire Blocked Today Please Complete Full Verification Call Customer Care XXXXXXXXXX Regard PAYTM Team,en,Ads,account alert
Post Office Dear customer your package could not be deliver on 10/11 because custom fee € X have not be pay Follow the instruction http //4hy.me/uOND8,es,Fraud,delivery
Dear customer your SBI A C have be Suspended please update your KYC Click here link submit your detail http // 9783de79117b.ngrok.io/ sbibank,en,Fraud,account alert
Your Royal Mail parcel be await delivery Please confirm the settlement of 1.99 GBP on the following link http // idparcel update .support Royal Mail,en,Fraud,delivery
Hope to meet you at the Press Card Program which will be broadcast live on TRT HABER today at 21:30,tr,Ads,politics/election
Slmat Selected for Rp.35 million from GiveAway Baim Faula Code XXXXXXXXX at bit.ly/ 3wEJINV Ch4t WA bit.ly.l XXXXXXXXXXXXX,tl,Fraud,prize
This be his account number XXXXXXXXXX BANK BCA A n DEWI SUSANTI,id,Fraud,financial
Hello As you will be aware Flybe have go in to administration If you be affect by this and pay use one of our Credit or Debit card please visit our website natwestinternational.com and click on find out more in the Flybe banner for more information and guidance on how we can help you make a claim,en,Fraud,credit/debit card
Assalam Alaikum Alhugandu Male XX City Mayor kamah kurimathilaifin Male XX ah kurierumaa tharaggee genaumah alhugandah vote dhevvun edhen Shukuriyya Muizzu C.No.1,sn,Ads,politics/election
Dear Kotak Mahindra Bank KYC have be expire Contact customer care no XXXXXXXXXX immediately call now your account will be block within XX hour,en,Fraud,account alert
"Your Paytm amount Rs 34,939 be credit to XXXXXXXXXX Download and Register now d1m.in/qrsd61",en,Fraud,financial
Hermes Oops we miss your delivery today To book a redelivery please visit http // myhermes.ref791.com Your parcel will return to sender if unpaid,en,Fraud,delivery
"Rs 2,000.00 on CNIC XXXXXXXXXXXXX sent from Easypaisa Biometric Agent.fatma bibi TID XXXXXXXXXXXX",en,Fraud,financial
Breathing mask be available at http // pharmacy -auvergne.com/ Free delivery throughout France X-X working day STOP at XXXXX,fr,Fraud,covid
ING You log into your internet banking from an unusual location on XX-XX-XXXX 01:07 Your account have be temporarily deactivate as a result Confirm your Home Banking via http //verificatie.environment-procedure.online and prevent blockage,nl,Fraud,account alert
